Tree,Taxon,StandardizedAbundance
Jiangsu,ASV8179,5.4859537817243025
Jiangsu,ASV8179,13.490408356771756
Jiangsu,ASV8179,13.506933720628515
Jiangsu,ASV8179,12.83339060343694
Jiangsu,ASV8179,13.109987639593518
Jiangsu,ASV8179,13.318184519251474
Jiangsu,ASV8179,13.83680090475423
Jiangsu,ASV8179,14.13932137564882
Jiangsu,ASV8179,12.964217813306023
Jiangsu,ASV8179,13.037501841796784
Jiangsu,ASV8179,13.576617584938544
Jiangsu,ASV8179,13.516850774586228
Jiangsu,ASV8179,12.899757982364662
Jiangsu,ASV8179,5.5734166229746425
Jiangsu,ASV8179,4.9453854003616
Jiangsu,ASV8179,4.6558787831666155
Jiangsu,ASV8179,5.682350994527806
Jiangsu,ASV8179,3.988454122253486
Jiangsu,ASV8179,4.4245532370601595
Jiangsu,ASV8179,5.967080471460919
Jiangsu,ASV8179,6.090815839883164
Jiangsu,ASV8179,5.186393499865395
Jiangsu,ASV8179,5.186393499865395
Jiangsu,ASV8179,5.392844377332821
Jiangsu,ASV8179,5.923359094031601
Jiangsu,ASV8179,5.9453854003616
Jiangsu,ASV8179,5.733881295167889
Jiangsu,ASV8179,5.186393499865395
Jiangsu,ASV8179,5.4245532370601595
Jiangsu,ASV8179,6.327256035705244
Jiangsu,ASV8179,5.4859537817243025
Jiangsu,ASV8179,6.186393499865395
Jiangsu,ASV8179,5.733881295167889
Jiangsu,ASV8179,5.544847470777872
Jiangsu,ASV8179,5.923359094031601
Jiangsu,ASV8179,6.360422899640444
Jiangsu,ASV8179,5.967080471460919
Guangxi,ASV8179,6.030274297948113
Guangxi,ASV8179,5.682350994527806
Guangxi,ASV8179,4.6558787831666155
Guangxi,ASV8179,4.293308703781907
Guangxi,ASV8179,5.25854328562123
Guangxi,ASV8179,5.030274297948113
Guangxi,ASV8179,5.030274297948113
Guangxi,ASV8179,5.25854328562123
Guangxi,ASV8179,5.878271204503063
Guangxi,ASV8179,5.030274297948113
Guangxi,ASV8179,5.855187591390022
Guangxi,ASV8179,5.855187591390022
Guangxi,ASV8179,5.831728618566033
Guangxi,ASV8179,4.988454122253486
Guangxi,ASV8179,5.515701125118355
Guangxi,ASV8179,5.030274297948113
Guangxi,ASV8179,5.222919375890509
Guangxi,ASV8179,4.1489187944467325
Guangxi,ASV8179,5.5734166229746425
Guangxi,ASV8179,5.030274297948113
Guangxi,ASV8179,5.0709162824454586
Guangxi,ASV8179,4.807881876611665
Guangxi,ASV8179,4.6558787831666155
Guangxi,ASV8179,4.6558787831666155
Guangxi,ASV8179,5.392844377332821
Guangxi,ASV8179,5.4245532370601595
Guangxi,ASV8179,5.1104446466320965
Guangxi,ASV8179,5.1104446466320965
Guangxi,ASV8179,4.708346203060751
Guangxi,ASV8179,4.9453854003616
Guangxi,ASV8179,4.807881876611665
Guangxi,ASV8179,4.708346203060751
Guangxi,ASV8179,0
Guangxi,ASV8179,4.222919375890509
Guangxi,ASV8179,5.327256035705244
Guangxi,ASV8179,5.030274297948113
Guangxi,ASV8179,13.884341208679604
Guangxi,ASV8179,13.514550558791411
Guangxi,ASV8179,13.679787114270852
Guangxi,ASV8179,13.212739596008106
Guangxi,ASV8179,13.785257213295102
Guangxi,ASV8179,14.102502625503293
Guangxi,ASV8179,13.966828112338229
Guangxi,ASV8179,13.420996022641745
Guangxi,ASV8179,13.266493549196264
Guangxi,ASV8179,13.993996116153308
Guangxi,ASV8179,14.0187155398215
Guangxi,ASV8179,13.813412862782009
Guangxi,ASV8179,6.6558787831666155
Guangxi,ASV8179,7.1201598014653085
Guangxi,ASV8179,6.4859537817243025
Guangxi,ASV8179,7.335619508639871
Guangxi,ASV8179,6.807881876611665
Guangxi,ASV8179,7.019932353726654
Guangxi,ASV8179,7.523043100459523
Guangxi,ASV8179,6.4859537817243025
Guangxi,ASV8179,6.4245532370601595
Guangxi,ASV8179,7.432372741519458
Guangxi,ASV8179,7.594478238502472
Guangxi,ASV8179,7.1583791236957985
Guangxi,ASV8179,7.9616872126907
Guangxi,ASV8179,7.493448318271227
Guangxi,ASV8179,8.284695573477197
Guangxi,ASV8179,8.181762051133749
Guangxi,ASV8179,7.972453643559771
Guangxi,ASV8179,7.500904123190274
Guangxi,ASV8179,7.352202392835475
Guangxi,ASV8179,7.090815839883164
Guangxi,ASV8179,8.489705916585411
Guangxi,ASV8179,7.9122185364264
Guangxi,ASV8179,7.1201598014653085
Guangxi,ASV8179,7.139396020328226
Chengdu,ASV8179,13.935016426978056
Chengdu,ASV8179,13.407794718798792
Chengdu,ASV8179,13.327649158476438
Chengdu,ASV8179,13.978975254965897
Chengdu,ASV8179,13.67814383647845
Chengdu,ASV8179,13.676498684803189
Chengdu,ASV8179,14.643090150781454
Chengdu,ASV8179,13.510516335219817
Chengdu,ASV8179,13.742752167803692
Chengdu,ASV8179,13.525444067519889
Chengdu,ASV8179,13.20462935054285
Chengdu,ASV8179,13.533645751112624
Ningxia,ASV8179,7.695407147353253
Ningxia,ASV8179,6.5734166229746425
Ningxia,ASV8179,6.721170243418334
Ningxia,ASV8179,6.923359094031601
Ningxia,ASV8179,6.831728618566033
Ningxia,ASV8179,8.009515737781316
Ningxia,ASV8179,7.635700901228985
Ningxia,ASV8179,7.455580132680784
Ningxia,ASV8179,6.956273716504336
Ningxia,ASV8179,6.758972276130719
Ningxia,ASV8179,7.493448318271227
Ningxia,ASV8179,8.428468287063541
Inner Mongolia,ASV8179,12.801480765837795
Inner Mongolia,ASV8179,12.346264836643785
Inner Mongolia,ASV8179,13.068566232991323
Inner Mongolia,ASV8179,12.08741507854209
Inner Mongolia,ASV8179,11.366047448834323
Inner Mongolia,ASV8179,12.22742076812545
Inner Mongolia,ASV8179,10.932347877258856
Inner Mongolia,ASV8179,11.98646374018443
Inner Mongolia,ASV8179,13.12076483189602
Inner Mongolia,ASV8179,12.553164034512857
Inner Mongolia,ASV8179,11.031561843808573
Inner Mongolia,ASV8179,12.573637607127772
Inner Mongolia,ASV8179,6.186393499865395
Inner Mongolia,ASV8179,6.343934776851875
Inner Mongolia,ASV8179,5.988454122253486
Inner Mongolia,ASV8179,6.408785921201843
Inner Mongolia,ASV8179,6.1489187944467325
Inner Mongolia,ASV8179,6.642458267404294
Inner Mongolia,ASV8179,6.0709162824454586
Inner Mongolia,ASV8179,6.455580132680784
Inner Mongolia,ASV8179,6.642458267404294
Inner Mongolia,ASV8179,7.019932353726654
