	otu	otu_occ	otu_rel	fill
541	ASV573	0.000835422	9.64E-08	core
542	ASV574	0.000835422	5.17E-07	core
543	ASV575	0.001670844	1.64E-05	core
544	ASV576	0.000835422	4.21E-07	core
545	ASV577	0.000835422	6.96E-08	core
546	ASV578	0.000835422	6.62E-08	core
547	ASV579	0.050125313	3.04E-04	core
548	ASV580	0.000835422	8.57E-08	core
549	ASV581	0.000835422	5.57E-07	core
550	ASV582	0.000835422	2.51E-07	core
551	ASV583	0.003341688	1.29E-06	core
552	ASV584	0.000835422	6.39E-08	core
553	ASV585	0.097744361	1.63E-03	core
554	ASV586	0.000835422	7.36E-08	core
555	ASV587	0.001670844	4.88E-07	core
556	ASV588	0.000835422	9.55E-06	core
557	ASV589	0.005012531	2.71E-06	core
558	ASV590	0.003341688	1.77E-05	core
559	ASV591	0.000835422	7.13E-07	core
560	ASV592	0.000835422	4.95E-07	core
561	ASV593	0.000835422	1.77E-07	core
562	ASV594	0.000835422	1.36E-06	core
563	ASV595	0.000835422	2.07E-07	core
564	ASV596	0.000835422	1.31E-07	core
565	ASV597	0.000835422	7.94E-08	core
566	ASV598	0.000835422	1.17E-07	core
567	ASV599	0.000835422	2.07E-08	core
568	ASV600	0.000835422	4.90E-07	core
569	ASV601	0.001670844	1.16E-06	core
570	ASV602	0.000835422	4.75E-08	core
571	ASV603	0.001670844	1.99E-06	core
572	ASV604	0.005847953	6.74E-06	core
573	ASV605	0.001670844	8.00E-08	core
574	ASV606	0.000835422	2.75E-06	core
575	ASV607	0.000835422	6.46E-08	core
576	ASV608	0.000835422	2.63E-07	core
577	ASV609	0.000835422	4.15E-08	core
578	ASV610	0.000835422	2.60E-06	core
579	ASV611	0.000835422	7.73E-08	core
580	ASV612	0.000835422	1.85E-07	core
581	ASV613	0.001670844	3.46E-06	core
582	ASV614	0.000835422	2.00E-06	core
583	ASV615	0.000835422	9.30E-08	core
584	ASV616	0.000835422	4.03E-08	core
585	ASV617	0.000835422	5.49E-06	core
586	ASV618	0.000835422	1.27E-07	core
587	ASV619	0.000835422	2.48E-06	core
588	ASV620	0.000835422	2.44E-08	core
589	ASV621	0.001670844	5.46E-08	core
590	ASV622	0.000835422	8.59E-08	core
591	ASV623	0.000835422	1.14E-07	core
592	ASV624	0.000835422	5.06E-07	core
593	ASV625	0.000835422	2.17E-07	core
594	ASV626	0.000835422	1.16E-07	core
595	ASV627	0.000835422	6.57E-07	core
596	ASV628	0.000835422	4.50E-07	core
597	ASV629	0.000835422	1.20E-07	core
598	ASV630	0.000835422	1.83E-07	core
599	ASV631	0.000835422	1.40E-07	core
600	ASV632	0.000835422	1.44E-06	core
601	ASV633	0.005847953	3.07E-06	core
602	ASV634	0.000835422	2.17E-07	core
603	ASV635	0.081035923	6.39E-04	core
604	ASV636	0.000835422	9.75E-08	core
605	ASV637	0.000835422	7.98E-08	core
606	ASV638	0.000835422	7.04E-08	core
607	ASV639	0.000835422	1.68E-07	core
608	ASV640	0.000835422	3.16E-06	core
609	ASV641	0.000835422	4.92E-08	core
610	ASV642	0.000835422	1.25E-07	core
611	ASV644	0.000835422	1.75E-07	core
612	ASV645	0.000835422	1.36E-07	core
613	ASV646	0.000835422	1.42E-07	core
614	ASV647	0.003341688	5.89E-07	core
615	ASV648	0.014202172	3.85E-05	core
616	ASV649	0.000835422	1.25E-06	core
617	ASV650	0.000835422	3.52E-08	core
618	ASV651	0.000835422	7.72E-07	core
619	ASV652	0.000835422	1.81E-07	core
620	ASV653	0.002506266	9.32E-07	core
621	ASV654	0.000835422	2.02E-08	core
